csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_standard_name,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,errors,sentinels,
LnBT,,,,,,Natural log of absolute value of vacuum toroidal magnetic field (BT) in Tesla at RGEO.,,,,derived,,,,,,,,,
LnKAPPA,,,,,,Natural log of plasma elongation determined from an MHD equilibrium fit.,,,,derived,,,,,,,,,
LnNEL20,,,,,,Natural log of central line average electron density in 10^20 m-3 from interferometer.,,,,derived,,,,,,,,,
LnPLTH_MW,,,,,,Natural log of the absolute value of estimated Loss Power corrected for charge exchange and unconfined orbit losses in Megawatts.,,,,derived,,,,,,,,,
LnRGEO,,,,,,Natural log of the plasma geometrical major radius in meters from an MHD equilibrium fit.,,,,derived,,,,,,,,,
LnSPLASMA,,,,,,Natural log of plasma surface area in m2.,,,,derived,,,,,,,,,
PHASE_RED,,,,,,"Converts phases to simplified form (L, LH, H, HL).",,,,derived,,,,,,,,,
PHASE_SIMPLE,,,,,,Further simplified phase classification.,,,,derived,,,,,,,,,
PoP,,,,,,Ratio between the experimental power threshold and that calculated with the threshold scaling law from Martin et al. (2008) (PLTH_MW / PTHRESH).,,,,derived,,,,,,,,,
RandUnif,,,,,,Uniform random values ranging from zero to one.,,,,derived,,,,,,,,,
Rmm,,,,,,Aspect ratio defined by formula,,,,derived,,,,,,,,,
SFORM,,,,,,Plasma surface area as evaluated using the SPLASMA formula.,,,,derived,,,,,,,,,
ONTIME,,,,,,The time of the start of auxiliary heating in seconds.,,,,discard,,identity,,,,,,[-9.999e-09],
AUXTIME,,,,,,The time in seconds when the last change in auxiliary power before TIME occurred.,,,,discard,,identity,,,,,,[-9.999e-09],
ELMTIME,,,,,,The time of the first ELM in seconds.,,,,discard,,identity,,,,,,[-9.999e-09],
HLTIME,,,,,,The time of the transition from an H-mode phase to a non-H-mode phase.,,,,discard,,identity,,,,,,"[-9.999e-09, 99.99]",
OFFTIME,,,,,,The time of the end of auxiliary heating in seconds.,,,,discard,,identity,,,,,,[-9.999e-09],
ISEQ,,,,,,Parameter scan identifier.,,,,discard,,identity,,,,,,,
TPI,,,,,,Time point indicator (ASDEX only).,,,,discard,,identity,,,,,,,
BGASA3,,,,,,Mass number of Tritium PINI's (JET only).,,,,discard,"Data is JET specific and for all JET data, the values are junk (-999999, etc.)",identity,,TRUE,,,,,
BGASZ3,,,,,,Charge number of Tritium PINI's (JET only).,,,,discard,Exact same as BGASA3,identity,,TRUE,,,,,
THXPT,,,,,,Poloidal angle of upper x-point (in degrees measured counter-clockwise from the outer major radius axis) with respect to the magnetic axis.,,,,discard,"DD stores positions (summary/boundary/x_point_main/r,z or equilibrium boundary x_point(:)/r,z), so the angle would need conversion against the magnetic axis.",identity,,,,,,[-9.999e-09],
THXPB,,,,,,Poloidal angle of lower x-point (in degrees measured counter-clockwise from the outer major radius axis) with respect to the magnetic axis.,,,,discard,Same as THXPT (lower X-point). Could feasibly implement coordinate transformation as formula,identity,,,,,,[-9.999e-09],
XTRGT,,,constant_string0d(:),,,Flag to indicate whether the x-point target is continuous or discrete toroidally.,,,,discard,No path.,identity,,,,,,,
IEML,,,constant_float0d(:),,,Ergodic magnetic field coil current in amperes (JFT-2M only).,,,,discard,All values are junk + machine specific,identity,,,,,,,
BMHDMDIA,,,constant_float0d(:),,,Offset for ASDEX between diamagnetic beta poloidal and MHD beta poloidal during the ohmic phase.,,,,discard,machine specific.,identity,,,,,,,
BSOURCE2,,,,,,The power fractions injected by neutral beam with the second source (JET only).,,,,discard,Candidate: summary/heating_current_drive/nbi(1)/beam_power_fraction – same as BSOURCE for NBI unit 1. See BSOURCE.,identity,,TRUE,,,,,
BSOURCE3,,,,,,The power fractions injected by neutral beam Tritium PINI's (JET only).,,,,discard,"See BGASA3. JET specific and even those values are just junk (-999999, 0, etc.)",identity,,TRUE,,,,,
SELDB1,,,constant_integer0d(:),,,Flag for the selection criteria of the standard dataset (first flag for DB1).,,,,discard,"Selection flag: summary/tag/name is a single string already claimed by SELEC2007, so it cannot hold further flags; suggest temporary like the other SELDB* rows.",identity,,,,,,,
EFPW05_full,,,,,,EFPW05 full selection flag.,,,,discard,,identity,,,,,,,
EFPW05_red,,,,,,EFPW05 reduced selection flag.,,,,discard,,identity,,,,,,,
IAEA02,,,,,,Flag marking inclusion in analysis of Snipes et al. (2002).,,,,discard,,identity,,,,,,,
IAEA02new,,,,,,Revised flag for inclusion in Snipes et al. (2002) analysis.,,,,discard,,identity,,,,,,,
IAEA04,,,,,,Flag for inclusion in 2004 IAEA analysis.,,,,discard,,identity,,,,,,,
SELDB4v1,,,,,,"Selection criteria version 4, variant 1.",,,,discard,,identity,,,,,,,
SELDB4v2,,,,,,"Selection criteria version 4, variant 2.",,,,discard,,identity,,,,,,,
SELDBsum,,,,,,Summary of SELDB criteria. Takes value of most recent meaningful SELDB flag.,,,,discard,,identity,,,,,,,
SELEC2006,,,,,,Preliminary version of SELEC2007.,,,,discard,,identity,,,,,,,
GAPIN,,,,FLT_0D,equilibrium/time_slice(0)/boundary/gap(0),The distance between the dominant separatrix flux surface and the inside wall at the mid plane in meters from an MHD equilibrium fit.,,"Set of gaps, defined by a reference point and a direction.",dynamic,,Best place for arbitrarily labeled distances,identity,,TRUE,"(""value"", ""description"")",,,,equilibrium/time_slice/boundary/gap
GAPOUT,,,,FLT_0D,equilibrium/time_slice(0)/boundary/gap(1),The distance between the dominant separatrix flux surface and the outside wall at the mid plane in meters for an MHD equilibrium fit.,,"Set of gaps, defined by a reference point and a direction.",dynamic,,see GAPIN,identity,,TRUE,"(""value"", ""description"")",,,,equilibrium/time_slice/boundary/gap
GAPTOP,,,,FLT_0D,equilibrium/time_slice(0)/boundary/gap(2),The distance between the dominant separatrix flux surface and the top of the vessel in meters.,,"Set of gaps, defined by a reference point and a direction.",dynamic,,see GAPIN,identity,,TRUE,"(""value"", ""description"")",,,,equilibrium/time_slice/boundary/gap
GAPBOT,,,,FLT_0D,equilibrium/time_slice(0)/boundary/gap(3),The distance between the dominant separatrix flux surface and the bottom of the vessel in metres.,,"Set of gaps, defined by a reference point and a direction.",dynamic,,see GAPIN,identity,,TRUE,"(""value"", ""description"")",,,,equilibrium/time_slice/boundary/gap
XPLIMT,,,,FLT_0D,equilibrium/time_slice(0)/boundary/gap(4),The minimum distance between the top X-point and either the vessel walls or limiters in metres from an MHD equilibrium fit. Positive XPLIMT means that the X-point is inside the vessel.,,"Set of gaps, defined by a reference point and a direction.",dynamic,,see GAPIN,identity,,TRUE,"(""value"", ""description"")",,,[-9.999e-09],equilibrium/time_slice/boundary/gap
DRSEP,,,,FLT_0D,equilibrium/time_slice(0)/boundary/gap(6),The distance at the outer mid plane (low field side) between the dominant separatrix flux surface and the secondary x-point flux surface in meters from an MHD equilibrium fit.,,"Set of gaps, defined by a reference point and a direction.",dynamic,,see GAPIN,identity,,TRUE,"(""value"", ""description"")",,,[-9.999e-09],equilibrium/time_slice/boundary/gap
NE95,,,,,,"The electron density at the surface enclosing 95% of the poloidal flux, in m-3.",,,,,See R95,identity,,,,,,[-9.999e-09],
ENBI,,eV,,structure,summary/heating_current_drive/nbi(0)/energy,Neutral beam energy weighted by power in volts.,,Full energy of the injected species (acceleration of a single atom),0,,DD path confirmed: summary/heating_current_drive/nbi(0)/energy (eV) = 'Full energy of the injected species'. ENBI is power-weighted across all units; nbi(0)/energy is unit 0 only and no weighted-average field exists in summary. Accept as mapped_caveat for single-unit shots; for multi-unit consider temporary or derive as Σ(PINJ_i × E_i)/ΣPINJ_i.,,,,,,,[-9.999e-09],summary/heating_current_drive/nbi/energy
